ParishCodeB;ParishCodeA;location_id
170348;170348;2468
170401;170401;2469
170402;170402;2470
170408;170408;2471
170403;170403;2472
170407;170407;2473
170501;170501;2474
170502;170502;2475
170505;170505;2476
170509;170509;2477
170510;170510;2478
170508;170508;2479
170601;170601;2480
170603;170603;2481
170604;170604;2482
170607;170607;2483
170609;170609;2484
170612;170612;2485
170616;170616;2486
170618;170618;2487
170619;170619;2488
170623;170623;2489
170625;170625;2490
170626;170626;2491
170627;170627;2492
170629;170629;2493
170631;170631;2494
170632;170632;2495
170636;170636;2496
170637;170637;2497
170638;170638;2498
170639;170639;2499
170640;170640;2500
170641;170641;2501
170642;170642;2502
170643;170643;2503
170635;170635;2504
170701;170701;2505
170703;170703;2506
170704;170704;2507
170705;170705;2508
170710;170710;2509
170711;170711;2510
170708;170708;2511
170802;170802;2512
170805;170805;2513
170809;170809;2514
170813;170813;2515
170814;170814;2516
170815;170815;2517
170816;170816;2518
170810;170810;2519
170901;170901;2520
170902;170902;2521
170906;170906;2522
170908;170908;2523
170909;170909;2524
171001;171001;2525
171002;171002;2526
171004;171004;2527
171007;171007;2528
171005;171005;2529
171009;171009;2530
171011;171011;2531
171013;171013;2532
171014;171014;2533
171016;171016;2534
171017;171017;2535
171015;171015;2536
171101;171101;2537
171102;171102;2538
171103;171103;2539
171106;171106;2540
171110;171110;2541
171111;171111;2542
171112;171112;2543
171201;171201;2544
171203;171203;2545
171205;171205;2546
171206;171206;2547
171232;171232;2548
171209;171209;2549
171211;171211;2550
171212;171212;2551
171233;171233;2552
171215;171215;2553
171216;171216;2554
171217;171217;2555
171219;171219;2556
171220;171220;2557
171221;171221;2558
171222;171222;2559
171223;171223;2560
171224;171224;2561
171234;171234;2562
171235;171235;2563
171227;171227;2564
171236;171236;2565
171229;171229;2566
171230;171230;2567
171231;171231;2568
171302;171302;2569
171319;171319;2570
171303;171303;2571
171304;171304;2572
171305;171305;2573
171317;171317;2574
171310;171310;2575
171311;171311;2576
171312;171312;2577
171320;171320;2578
171313;171313;2579
171314;171314;2580
171315;171315;2581
171316;171316;2582
171401;171401;2583
171403;171403;2584
171404;171404;2585
171406;171406;2586
171409;171409;2587
171410;171410;2588
171414;171414;2589
171415;171415;2590
171416;171416;2591
171420;171420;2592
171426;171426;2593
171431;171431;2594
171432;171432;2595
171433;171433;2596
171434;171434;2597
171435;171435;2598
171436;171436;2599
171437;171437;2600
171429;171429;2601
171438;171438;2602
180101;180101;2603
180120;180120;2604
180104;180104;2605
180106;180106;2606
180107;180107;2607
180109;180109;2608
180110;180110;2609
180111;180111;2610
180114;180114;2611
180115;180115;2612
180121;180121;2613
180122;180122;2614
180123;180123;2615
180118;180118;2616
180201;180201;2617
180202;180202;2618
180208;180208;2619
180204;180204;2620
180206;180206;2621
180301;180301;2622
180303;180303;2623
180304;180304;2624
180305;180305;2625
180309;180309;2626
180312;180312;2627
180313;180313;2628
180314;180314;2629
180317;180317;2630
180319;180319;2631
180322;180322;2632
180323;180323;2633
180324;180324;2634
180325;180325;2635
180326;180326;2636
180327;180327;2637
180403;180403;2638
180404;180404;2639
180405;180405;2640
180406;180406;2641
180408;180408;2642
180409;180409;2643
180410;180410;2644
